uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5mqksvcut2j,bafyreic3v2zvpdvt2a2a7nrilfm22kqf24r4wennyt577ohbelmwe6eszi,"VEM COM A GENTE NO ÚLTIMO SEXTOU ANTES DA ELEIÇÃO ❤️

Nesta sexta (4), vamos nos encontrar no Dona Jovem às 18h30 e depois passaremos pelos bares do Centro Leste de Floripa. Venha pegar o seu adesivo para votar 13044 no domingo e fazer aquela foto com a gente pra pedir o voto da família e das amigas.",2024-10-03T17:10:27.588Z,0,10,11,2024-10-03T17:10:27.588Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5mmiw736t26,bafyreicx5bvpkc2dvwmw5b2a4x2z6knavy4mgzbkqo2h2tbrtzhlpx3ifq,"NESTE DOMINGO VOTE CARLA AYRES 1️⃣3️⃣0️⃣4️⃣4️⃣ PARA VEREADORA 🗳✅️

Nossa campanha chegou na reta final e o seu apoio é fundamental para que nossas lutas continuem avançando na Câmara Municipal de Florianópolis. Cada voto faz muita diferença. Por isso, bora conquistar aquele voto indeciso que está faltando 😉",2024-10-03T15:57:48.978Z,0,4,8,2024-10-03T15:57:48.978Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5m6n5c4hu2k,bafyreieutsz2nc3uwvq2pai3qohjyrgm6dovsx35r5m2vkwukhaui2ltgi,Faltam 3 dias para as eleições. Vamos em busca daquele voto indeciso para que nossas lutas possam continuar na Câmara Municipal de Florianópolis. Converse com seus familiares e amigos e indique o nosso número: É Carla outra vez 1️⃣3️⃣0️⃣4️⃣4️⃣✅️,2024-10-03T11:49:37.137Z,0,6,17,2024-10-03T11:49:37.137Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:ztvdbjjn64raiil44bbwebcs/app.bsky.feed.post/3l5kvsiotxp2t,bafyreievridq7nie36e3hkqtclftfnqxps5lm3mznbumf775rz4gftk32i, Domingo é Carla Ayres ⭐ 13044  ⭐,2024-10-02T23:38:54.541Z,0,5,13,2024-10-02T23:38:54.541Z,amoraamorinha.bsky.social,Amorinha,did:plc:ztvdbjjn64raiil44bbwebcs
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5kpx3mwyb2k,bafyreidthar5s7zbwsvfemq5zyfglhtieaa4nkx45m5b6lrjosn3y3hgu4,"É CARLA OUTRA VEZ ✊🏻

Não faltam motivos para votar 13044 no próximo domingo, mas se você está em dúvida, essa galera linda tem alguns argumentos que vão te ajudar a decidir.😉

É Carla 1️⃣3️⃣0️⃣4️⃣4️⃣ para vereadora de Florianópolis.",2024-10-02T21:54:05.069Z,0,4,18,2024-10-02T21:54:05.069Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5ju2onkli2n,bafyreiauhsl7e6xzgvlmyeihibrtq6mjjjdj2tuareb3a5njhivyfbfhuq,"Tenho ouvido por aí que eu já estaria eleita, mas já pensou se todo mundo pensar assim?

Não caia nesse papo! Cada voto importa e faz muita diferença.

Se alguém te orgulha e te representa na política, apoie essa candidatura. Converse com seus familiares e amigos e vote Carla Ayres 13044 🗳✅️",2024-10-02T13:35:01.641Z,0,4,20,2024-10-02T13:35:01.641Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5jo4zdypf2s,bafyreiefjxz5wpezktt6vor5t7kd6xi2xcexgos6uauts64dngrna65j7i,Eu que agradeço o apoio ❤️,2024-10-02T11:48:57.321Z,1,0,1,2024-10-02T11:48:57.321Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5jneyc57i2f,bafyreieogxfhbipghjkp4qh5yk2qiv6fpa7j6vy4o4t5n4oavcbfgo3dau,Não podemos aceitar a tentativa de criminalização das trabalhadoras e dos trabalhadores. A Comcap é um patrimônio de Florianópolis e nós estamos aqui na Assembleia para prestar nosso apoio à categoria.,2024-10-02T11:35:31.116Z,0,12,31,2024-10-02T11:35:31.116Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:lcnw3kabmia5zdibgdplye5m/app.bsky.feed.post/3l5gzoanwzh2t,bafyreibqxmnpgdw3hdytaehcowggpdwpcvsm4syoyufjcslcoiybevidty,"em Florianópolis sou Carla Ayres 13044 e Lela 13!

Tô com Lula, tô com Lela! ❤️",2024-10-01T10:37:27.991Z,0,15,54,2024-10-01T10:37:27.991Z,danibah.bsky.social,Dani Bah,did:plc:lcnw3kabmia5zdibgdplye5m
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5h2kv7div2f,bafyreic5czcrz7kzjn2idhuw6i3exsufn5mhpufuieht2lknltxzverwqm,"Muito obrigada, Paula 🥰",2024-10-01T10:53:28.966Z,0,0,1,2024-10-01T10:53:28.966Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5gzmbq3oz27,bafyreidqxloaumewfd3yamglqo5cz3lmlxumgpxkomfa7h5jigdcrl3mtq,Com o coração repleto de alegria e muito afeto eu peço o seu voto para que possamos continuar lutando por uma Floripa mais justa e mais humana. Dia 6 de outubro É CARLA OUTRA VEZ!,2024-10-01T10:36:21.913Z,0,3,13,2024-10-01T10:36:21.913Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5gzkse24f2f,bafyreick2lqiuhkd74nlque42prfwuezhdhooh75khinbmbf4hmsnqmuxy,"O retorno que recebemos das ruas nos mostra que estamos no caminho certo. Agora, chegou a hora daquele esforço final para reeleger esse mandato que tanto te orgulha. Vem com a gente buscar aquele voto indeciso que falta. Converse com seus familiares, amigos e manda um inbox para os contatinhos 😉",2024-10-01T10:35:32.218Z,2,10,43,2024-10-01T10:35:32.218Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5evuojlvw2i,bafyreiacpkewanv3ub3q36rzkz7jwiltxtwsys4zcyllfkiptgu3bityxm,"Muito obrigada, querido 🥰❤️",2024-09-30T14:24:08.810Z,0,0,1,2024-09-30T14:24:08.810Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5esjg5lfn2s,bafyreihwdr36lkqksag3zoabuw4qx4rfwrzdhdsmxjoya7jewkci6zklum,Muito obrigada pelo apoio 🥰❤️,2024-09-30T13:24:09.693Z,2,0,2,2024-09-30T13:24:09.693Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,bafyreiab26ognjv2t7rmsrh54gol24y6xrnw5a2cr7spwqmgmtcimm42ta,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,2024-09-29T16:36:09.467Z,116,737,4187,2024-09-29T16:36:09.467Z,guganoblat.bsky.social,GugaNoblat,did:plc:vfwb3qvgj5cef6j3nybcloip
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5ay7fv3qj26,bafyreie4mtsyezmiclvvioxyzpdyx5khuixzk5o7nytgpuikwwszqjnn74,"Viemos curtir o Samba de Antonieta aqui no Bugio Centro, para começar a última semana de campanha com as energias renovadas. A hora é agora para conversar com seus amigos e familiares. Bora chamar todo mundo pra votar Carla Ayres vereadora 13044.

Cada voto faz diferença! Vem com a gente ❤️",2024-09-29T00:55:17.779Z,0,5,15,2024-09-29T00:55:17.779Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5ao6toyvx2k,bafyreif52maxjwnyw6i47jyfwmkpnwuet7qalmhgo3hdex2dszplgr7itq,"Um sábado de luta e muito carinho recebido nas ruas de Floripa. Cada abraço, cada olhar e palavra de apoio nos dão a certeza de que muita gente trilha conosco essa caminhada ❤️",2024-09-28T21:56:00.620Z,0,5,28,2024-09-28T21:56:00.620Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l57vupuywf2f,bafyreicuhnmg6a6aedqgg3eqeynwsixw3nupjch3vcf5gabam2cuqiehyi,Muito obrigada de coração 🥰,2024-09-28T14:40:52.066Z,0,0,1,2024-09-28T14:40:52.066Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:ztvdbjjn64raiil44bbwebcs/app.bsky.feed.post/3l57sjyogd22r,bafyreifhz3syreztmntw5zt57cfw3m7v4bbucgdul3xxv2onlnxtb65pza,Vote Carla Ayres - 13044 ⭐,2024-09-28T13:41:10.643Z,1,7,12,2024-09-28T13:41:10.643Z,amoraamorinha.bsky.social,Amorinha,did:plc:ztvdbjjn64raiil44bbwebcs
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l57ugvq4lw2k,bafyreihiu5cqou47mmidu43q373enrk3iehmo5uzf2h5cek6t6ychv6zgy,"Todo mundo ama alguém que já abortou!

O 28 de setembro é o Dia de Luta Pela Descriminalização e Legalização do Aborto na América Latina e Caribe.",2024-09-28T14:15:14.706Z,1,5,25,2024-09-28T14:15:14.706Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l57ucjniim2c,bafyreihslvtpa4jdu5mfuf352sbpwmguy3xrqaz6zu5a65nujc7nodti3i,Ato no Centro de Floripa pelo Dia de Luta Pela Descriminalização e Legalização do Aborto na América Latina e Caribe.,2024-09-28T14:12:47.806Z,0,3,21,2024-09-28T14:12:47.806Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l57reba7vc2k,bafyreibnjhiacxerfung4h5opsicvlzhoajng6yzm4dwc7wqm7qgwinzze,"Muito obrigada, pela força ❤️😍 O coração fica quentinho aqui.",2024-09-28T13:20:04.711Z,0,0,2,2024-09-28T13:20:04.711Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:henbe2xhtsyowtmnmfyau2q3/app.bsky.feed.post/3l57ngksxpj2v,bafyreie6siepaqfv4w3vrzhp4rlhyuogwlkflrcbnp2sacf2vqqetchati,minha vereadora é essa aqui 💝✨,2024-09-28T12:09:47.948Z,2,5,19,2024-09-28T12:09:47.411Z,fresdinanda.bsky.social, ✨ fefaverso ✨,did:plc:henbe2xhtsyowtmnmfyau2q3
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l57mithnar2z,bafyreiajzys76a5zlpj5ypzavwmp6kqzjd5j2rmutyzbbk5b4bdndd7ddu,"Muito obrigada, amado 😍❤️",2024-09-28T11:53:09.562Z,0,0,0,2024-09-28T11:53:09.562Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:lgn7xxokn7jyi5ohjttlthiz/app.bsky.feed.post/3l57leojzkk2c,bafyreihxuasa7ctefsc3gl2ynwcy2dhzt6dcgauxakup2txlz3m3upb7wi,"Floripa,  não deixe passar a oportunidade de eleger quem realmente trabalha por você. 
É Carla Ayres 13044!!!!!",2024-09-28T11:32:56.349Z,2,2,8,2024-09-28T11:32:56.349Z,zeguidini.bsky.social,José Guidini 🚩🐱🦋💚,did:plc:lgn7xxokn7jyi5ohjttlthiz
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l57kz35s7b2y,bafyreiflxtmhk7zxx2bswhao57xst2qcuscwoourfhzukwbvxt7vjpk3nu,"É NA RUA E NO OLHO A OLHO QUE A GENTE SE FORTALECE!

A campanha tem momentos bons e desafiadores, mas é na rua, com o pé no chão e olho no olho que a gente se reconecta e se revigora para seguir lutando por uma Floripa mais justa e acolhedora para todas as pessoas.

Vote Carla Ayres vereadora 13044.",2024-09-28T11:26:27.011Z,0,4,30,2024-09-28T11:26:27.011Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l56dmktr742e,bafyreiddxs6uymcwvydc5d72oqubz2j54sn5p5hjib7muhmseudy7j3kdm,"Ah querido, muito obrigada ❤️",2024-09-27T23:41:30.882Z,0,0,0,2024-09-27T23:41:30.882Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l55zn5dglm2i,bafyreihonvmnh5tqhuiwcfc6tsodac5gwkd5as3yyodk6vo6ikgldpwtoe,"SEU VOTO É IMPORTANTE DEMAIS PRA VOCÊ FAZER APOSTAS!

Vote em quem já mostrou que trabalha e que faz uma política séria e comprometida com toda a cidade. Vote Carla Ayres 13044 vereadora!",2024-09-27T20:42:52.894Z,1,5,15,2024-09-27T20:42:52.894Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l55eds7ncv26,bafyreigg6wz46qyx2urxpzxe2xxdffuf3vqpnvoyp5nnuzuurvwln5leva,Atriz brilhante. Um dia muito triste para os seus fãs no Brasil e no mundo.,2024-09-27T14:21:49.877Z,0,4,23,2024-09-27T14:21:49.877Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5575amtpo2i,bafyreiezujt7jfdbcthw657jmse5eqxsm2m2pfqnquu7m72amgln42sj44,Coragem,2024-09-27T12:48:42.280Z,0,0,1,2024-09-27T12:48:42.280Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l552p73czn2c,bafyreicjrrkdglmbzoz5lwawo42n5iwxons4tdgnmdvpqlvmwrxcldu4z4,"Tenho ouvido por aí que eu já estaria eleita, mas já pensou se todo mundo pensar assim?

Não caia nesse papo! Cada voto importa e faz muita diferença.

Se alguém te orgulha e te representa na política, apoie essa candidatura. Dia seis de outubro vote Carla Ayres 13044 🗳✅️",2024-09-27T11:29:15.948Z,1,10,21,2024-09-27T11:29:15.948Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l53adetoy32b,bafyreif5vichhw2lmcnm4naoe2boetnfvtt5iwfnm27uuh5s2o7sn5skoe,Essa é a cidade real que não aparece na propaganda do Topázio.,2024-09-26T18:04:42.478Z,0,1,8,2024-09-26T18:04:42.478Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l536vm6ei723,bafyreigjwnlfmr2eydarv7vaxvy4p67xrdxco4j5qt3jqssprqe5u6vbje,Que loucura!,2024-09-26T17:39:06.669Z,0,0,1,2024-09-26T17:39:06.669Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l535cbi73z27,bafyreifayi3y6fcordvnlcpfs6ug7twd4fr2l6eovz6fv3z762cumdalnq,"Oi querido pode pegar nosso material no Comitê, na Rua Araújo Figueiredo, 69, loja 4, no Centro. Ou se preferir, me passa seu endereço por mensagem que entregamos um kit aí para você 😉",2024-09-26T17:10:23.914Z,0,0,1,2024-09-26T17:10:23.914Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l534xadfdu2f,bafyreibdxoh4fimi2uigg7upvvepzuzn7kqm7ipx7q46x2tj7aby7qs4ka,"A SAÚDE DE FLORIPA PEDE SOCORRO!

Um paciente do Centro de Saúde do Capivari, entrou contato para denunciar o prazo para a realização dos seus exames: a acupuntura solicitada em 03/2023 foi agendada para 12/2024; a ultrassonografia foi marcada para 07/2026 e a ressonância magnética ficou para 2037.",2024-09-26T17:04:12.981Z,2,4,18,2024-09-26T17:04:12.981Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l52m2djgl62s,bafyreihqwvtctkp4rxfu75aodelch3n24y3cn6y5wlkmixhnwgthl2mwzm,"Bom dia, Floripa",2024-09-26T12:01:44.316Z,1,5,38,2024-09-26T12:01:44.316Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4ymstwdm62l,bafyreibbhpfwq5mr45vrhwcnggi64qxnznl6eosm56xzwdl34gjp7s5xu4,"É secretário que roubava dinheiro do estacionamento da Fenaostra usando pessoas em situação de rua, secretário que pedia chinelo de R$ 4 mil para ajudar cartel de  funerária...

Se você ama Florianópolis de verdade, não pode mais aceitar esse tipo de absurdo na Prefeitura!",2024-09-25T17:10:06.972Z,1,5,25,2024-09-25T17:10:06.972Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4y44b2nul2l,bafyreifarf3pvlf7wbdh5pacsrpkn557hj57tbvvedd3nalkuyqzqwluyq,Vamos questionar a Prefeitura.,2024-09-25T12:11:09.178Z,0,0,2,2024-09-25T12:11:09.178Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4y3mc2s3g2y,bafyreibt53w7dskqapscenpaeplxii7hvu7zupriqkiersteel4eqs3dg4,"O ex-secretário teria pedido, inclusive, uma sandália avaliada em R$ 4 mil para um empresário. Mais um caso absurdo que demonstra como a gestão Topázio estava mergulhada em corrupção. Confira a reportagem:
oglobo.globo.com/brasil/notic...",2024-09-25T12:02:13.362Z,1,1,8,2024-09-25T12:02:13.362Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4y3klrjau2s,bafyreibrq7mkhgczta3nt4oictmjxsj3kyx3xy6lp3gyfmnf6txxsasj6q,"🚨 CHINELAGEM: De acordo com o jornal O Globo, o ex-secretário de Limpeza e Manutenção Urbana de Florianópolis, João da Luz,  é suspeito de receber presentes caros e viagens para facilitar as práticas criminosas de um cartel de funerárias. O escândalo foi revelado pela Operação Mercadores da Morte.",2024-09-25T12:01:16.429Z,3,28,75,2024-09-25T12:01:16.429Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4lnhrdrjt23,bafyreiebqufxuw6dvspugdavqqruea75qvetsxlc7xixg7qzryz6uyiakm,"HORÓSCOPO:

Áries ♈️

Ariana(o), você quer votar alguém que lute com paixão e determinação por uma cidade mais justa, sustentável e inovadora. Sua natureza corajosa e sua vontade de ver ações concretas serem tomadas fará com que você  vote em Carla Ayres 13044 para vereadora em Florianópolis.",2024-09-20T13:17:12.493Z,1,1,7,2024-09-20T13:17:12.493Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4wcbq6frk27,bafyreihmrwzronogzbixscfyisyt4lmp4r3hs43sikuoew7jxi6pym7x4m,"Ah, fico feliz que gostou 😍
Recomenda a vereadora pras amigas e amigos 😉",2024-09-24T18:56:15.744Z,1,0,1,2024-09-24T18:56:15.744Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:wrie5brjc6qn2foedcckfyzv/app.bsky.feed.post/3l4w6nc7m4t2n,bafyreibhltvesn2xuqctfcbhoyzybcqcc5666jrotvu45v6vpvg7qz5sm4,"Achei muito engraçado o jornal de campanha da @carlaayres.bsky.social , onde eles colocaram uma seção dos signos, mostrando como cada signo pensaria, agiria ou votaria nela. Sério, achei isso super criativo! É uma forma bem diferente de se conectar com o público, misturando astrologia e política",2024-09-24T17:51:09.218Z,1,1,4,2024-09-24T17:51:09.218Z,ricamarante.bsky.social,Rica de Taubaté ,did:plc:wrie5brjc6qn2foedcckfyzv
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4vshwqr532l,bafyreihdjm6m2nv7rnaaqrtmgv24g46yiybq3ny2o45xjhqq3w3zs7azk4,"Discurso irretocável do presidente Lula na Assembleia Geral da ONU. Seu Conselho de Segurança precisa urgentemente ser reformado, com voz para países da África e América Latina. Os discursos em defesa da preservação ambiental, dos países desenvolvidos, precisa ser acompanhado de investimentos.",2024-09-24T14:13:24.317Z,1,3,26,2024-09-24T14:13:24.317Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4vfi7p5kd2c,bafyreifsidts5p4rqy7ztiajm2fsgivtiwmjlb3slk6b2f3akmdiuw543i,Reafirmando nosso compromisso em defesa de uma COMCAP 100% pública e pela valorização das trabalhadoras e dos trabalhadores. Vote Carla Ayres vereadora 13044.,2024-09-24T10:20:54.351Z,0,8,32,2024-09-24T10:20:54.351Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4tngnbjwi2u,bafyreifsyk6cs2gqz5crekh2p3dbypiayzkrlxdwybyddhug2icmspudvu,"Participando da celebração dos 115 anos do IFSC, ao som do bloco Cores de Aidê.",2024-09-23T17:37:52.520Z,0,3,12,2024-09-23T17:37:52.520Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4sunnpdpw2g,bafyreic5pzjuo5tznwde7yf5bopfdx6rcfepzlyk5p63yl2x3kxv6qdawm,"FALTAM 13 DIAS PARA VOTAR 1️⃣3️⃣0️⃣4️⃣4️⃣✅️

A eleição é dia 6 de outubro e cada voto faz diferença!

Fale com seus amigos, vizinhos e familiares. Bora votar Carla Ayres vereadora 13044 e Lela prefeito 13.",2024-09-23T10:14:24.540Z,1,8,26,2024-09-23T10:14:24.540Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4rviwtj242c,bafyreiexpjiuiribabkgbnln4ehmmfituajxjzcc4rm5u3d6p5ahjsvrei,"O trânsito hoje em Florianópolis foi uma amostra do que será o verão na nossa cidade. Mas na propaganda eleitoral do prefeito, tá tudo lindo, afinal, ele fez dois binários.",2024-09-23T00:57:00.431Z,0,6,20,2024-09-23T00:57:00.431Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:3zb6cejpu3xtpvgk4q5vsvzh/app.bsky.feed.post/3kzrlbfmx262i,bafyreib2toomx7ssmvgkuevq45dthxey3k44viopgaaxkdmvu6wjwaj67y,"🎙 ENTREVISTA | Tânia Slongo, candidata do PT à prefeitura de Palhoça (SC) - 15-08-24
O Café PT conversou com Tânia Slongo, candidata do PT à prefeitura de Palhoça (SC), sobre a campanha e ações do governo Lula em Palhoça.",2024-08-15T17:38:14.804Z,1,8,22,2024-08-15T17:38:14.804Z,pt.org.br,PT Brasil,did:plc:3zb6cejpu3xtpvgk4q5vsvzh
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4rjdfi4f42i,bafyreihb7ghnfqvlqwrsr5mflm7mfiuv3v7nci53pfvwbrribagmhqoax4,"O primeiro busca estimular as pesquisas com a cannabis na nossa cidade. E o segundo, busca assegurar a distribuição de medicamentos à base de cannabis em Florianópolis.

Dia 6 de outubro, vote à favor da vida, da saúde e do acesso à cannabis medicinal. Vote Carla Ayres 13044 para vereadora.",2024-09-22T21:19:09.334Z,0,1,10,2024-09-22T21:19:09.334Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4rjcz6eqr2d,bafyreid3zsfdghfuo7o6g7kxpnqkgm6bf4ut3tqka22shezkv2ipefixx4,"MAIS UMA MARCHA DA MACONHA HISTÓRICA

Na tarde deste domingo (22), participamos da Marcha da Maconha Floripa, um evento que luta por liberdade, contra o preconceito e a criminalização do uso recreativo da cannabis. Enquanto vereadora, apresentei dois projetos de leis relacionados à maconha:",2024-09-22T21:18:56.425Z,2,4,18,2024-09-22T21:18:56.425Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4qkxsflfy2y,bafyreih42aoiciih7nx7hwezumrnsft4qktijnwoki6pvpcosgmccsj32y,"Bom dia, Floripa.

Hoje tem Marcha da Maconha, a partir das 14h no Parque da Luz. Bora somar com a gente nessa luta antiproibicionista.",2024-09-22T12:15:48.074Z,0,2,29,2024-09-22T12:15:48.074Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4pf6n4jnd2g,bafyreia5hmttkra63mlicnbn5frzlig2ba47pgc3f2zau6xv7odwzw6f7e,"UMA HONRA RECEBER O APOIO DO NOSSO COMANDANTE.

Zé Dirceu tem uma história de muita luta em defesa da democracia e na construção do Partido das Trabalhadoras e dos Trabalhadores. Tenho a missão de honrar o legado das gerações que me antecederam e seguir defendendo um projeto de país mais justo.",2024-09-22T00:59:34.268Z,0,15,57,2024-09-22T00:59:34.268Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l4o4mk45dg2b,bafyreibxws5abobz7qwabizdsmwvv3g4clwkpahdg234erdg2q4vkgll4y,"Muito obrigada, amado 🥰",2024-09-21T12:53:38.655Z,0,0,1,2024-09-21T12:53:38.655Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
